444;2012-04-14 18:00:00;17;24;39
445;2012-04-15 12:15:00;19;26;35
446;2012-04-14 19:00:00;23;30;37
447;2012-04-14 19:00:00;21;28;31
448;2012-04-14 19:00:00;25;32;25
449;2012-04-14 19:15:00;27;34;29
450;2012-04-15 18:30:00;29;36;33
451;2012-04-15 19:00:00;31;38;27
452;2012-04-21 17:45:00;22;29;28
453;2012-04-21 18:00:00;24;31;30
454;2012-04-21 18:00:00;30;37;36
455;2012-04-21 18:30:00;32;39;38
456;2012-04-21 19:30:00;18;25;24
457;2012-04-21 20:00:00;26;33;32
458;2012-04-22 18:00:00;20;27;26
459;2012-04-22 18:45:00;28;35;34
460;2012-04-28 18:00:00;17;24;33
461;2012-04-29 12:15:00;19;26;38
462;2012-04-28 19:00:00;25;32;37
463;2012-04-28 19:00:00;23;30;29
464;2012-04-28 19:00:00;21;28;35
465;2012-04-28 19:15:00;27;34;27
466;2012-04-28 19:30:00;18;25;39
467;2012-04-29 18:30:00;29;36;31
468;2012-05-05 17:45:00;22;29;36
469;2012-05-05 18:00:00;24;31;32
470;2012-05-05 18:00:00;30;37;24
471;2012-05-06 12:15:00;19;26;39
472;2012-05-05 20:00:00;26;33;25
473;2012-05-06 18:00:00;20;27;28
474;2012-05-06 19:00:00;31;38;34
475;2012-05-06 18:45:00;28;35;30
476;2012-05-12 18:00:00;17;24;31
477;2012-05-12 18:30:00;32;39;33
478;2012-05-12 19:00:00;25;32;29
479;2012-05-12 19:00:00;23;30;27
480;2012-05-12 19:00:00;21;28;38
481;2012-05-12 19:15:00;27;34;26
482;2012-05-12 19:30:00;18;25;37
483;2012-05-13 18:30:00;29;36;35
